2025-10-28 01:45:00,1463,AAAAAAA
2025-10-28 12:15:00,1486,GH203RU
2025-10-29 01:25:00,1465,AN564TN
2025-10-29 03:40:00,1464,TEST11 
2025-10-29 07:00:00,1481,AC451EN
2025-10-29 07:45:00,1482,AC451EN
2025-10-29 18:25:00,1501,AAAAAAA
2025-10-30 00:05:00,1503,AC451EN
2025-10-30 04:45:00,1505,TEST9  
2025-10-30 05:15:00,1506,AN564TN
2025-10-30 14:40:00,1502,DACOO  
2025-10-31 10:50:00,1508,DACOO  
2025-11-02 04:45:00,1541,AAAAAAA
2025-11-04 06:10:00,1542,GH203RU
2025-11-05 08:05:00,1543,BF787YU
2025-11-06 08:00:00,1549,BC951UE
2025-11-07 08:50:00,1547,AN564TN
2025-11-15 17:05:00,1581,AI203YW
2025-11-18 10:40:00,1561,DACOO  
2025-11-21 08:50:00,1602,BT931KD
2025-11-21 09:30:00,1601,AAAAAAA
2025-11-21 10:00:00,1607,AI121WX
2025-11-22 10:35:00,1603,AAAAA1 
2025-11-23 08:25:00,1605,BK663NG
2025-11-23 08:30:00,1604,AY651XU
2025-11-23 10:50:00,1606,BN683XN
2025-12-09 09:00:00,1621,AAAAA1 
2025-12-10 07:10:00,1622,BC951UE
2025-12-15 04:00:00,1642,UE089OU
2025-12-15 07:05:00,1646,TEST11 
2025-12-15 08:25:00,1644,XU021OT
2025-12-16 08:40:00,1647,VK187RK
2025-12-16 10:00:00,1641,XU021OT
